Java HotSpot(TM) 64-Bit Server VM (25.291-b10) for linux-amd64 JRE (1.8.0_291-b10), built on Apr  7 2021 19:13:06 by "java_re" with gcc 7.3.0
Memory: 4k page, physical 32357212k(29764328k free), swap 978940k(978940k free)
CommandLine flags: -XX:+HeapDumpOnOutOfMemoryError -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
2022-04-14T17:46:47.914+0800: 0.493: [GC (Allocation Failure) [PSYoungGen: 65536K->5122K(76288K)] 65536K->5138K(251392K), 0.0065999 secs] [Times: user=0.03 sys=0.03, real=0.01 secs] 
2022-04-14T17:46:48.201+0800: 0.781: [GC (Allocation Failure) [PSYoungGen: 70658K->5945K(141824K)] 70674K->5969K(316928K), 0.0094980 secs] [Times: user=0.05 sys=0.06, real=0.01 secs] 
2022-04-14T17:46:48.572+0800: 1.152: [GC (GCLocker Initiated GC) [PSYoungGen: 137017K->10724K(141824K)] 137041K->10943K(316928K), 0.0143545 secs] [Times: user=0.09 sys=0.08, real=0.01 secs] 
2022-04-14T17:46:48.648+0800: 1.228: [GC (Metadata GC Threshold) [PSYoungGen: 38576K->7539K(163840K)] 38794K->7765K(338944K), 0.0149234 secs] [Times: user=0.07 sys=0.14, real=0.02 secs] 
2022-04-14T17:46:48.663+0800: 1.243: [Full GC (Metadata GC Threshold) [PSYoungGen: 7539K->0K(163840K)] [ParOldGen: 226K->7241K(175104K)] 7765K->7241K(338944K), [Metaspace: 20380K->20380K(1067008K)], 0.0339730 secs] [Times: user=0.23 sys=0.10, real=0.03 secs] 
2022-04-14T17:46:48.994+0800: 1.574: [GC (Allocation Failure) [PSYoungGen: 153088K->10734K(163840K)] 160413K->22118K(338944K), 0.0215572 secs] [Times: user=0.07 sys=0.15, real=0.02 secs] 
2022-04-14T17:46:49.341+0800: 1.920: [GC (Allocation Failure) [PSYoungGen: 163822K->10742K(145408K)] 175206K->30546K(320512K), 0.0127463 secs] [Times: user=0.10 sys=0.04, real=0.01 secs] 
2022-04-14T17:46:49.820+0800: 2.399: [GC (Allocation Failure) [PSYoungGen: 145398K->15792K(150528K)] 165202K->35603K(325632K), 0.0105292 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2022-04-14T17:46:50.045+0800: 2.624: [GC (Metadata GC Threshold) [PSYoungGen: 60406K->12909K(153600K)] 80217K->32729K(328704K), 0.0153162 secs] [Times: user=0.23 sys=0.00, real=0.02 secs] 
2022-04-14T17:46:50.060+0800: 2.639: [Full GC (Metadata GC Threshold) [PSYoungGen: 12909K->0K(153600K)] [ParOldGen: 19819K->18365K(175104K)] 32729K->18365K(328704K), [Metaspace: 34043K->34043K(1079296K)], 0.0464870 secs] [Times: user=0.48 sys=0.00, real=0.04 secs] 
