2022-04-17 10:52:27.795 接收deviceList：{} 
2022-04-17 10:52:27.843 接收inDepotList：ZxPlatTaskPo [Hash = 304670689, id=null, platId=6, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:52:28.837 接收inDepotList：ZxPlatTaskPo [Hash = 434940986, id=null, platId=6, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:52:29.835 接收inDepotList：ZxPlatTaskPo [Hash = 1142395236, id=null, platId=6, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:52:30.832 接收inDepotList：ZxPlatTaskPo [Hash = 502744487, id=null, platId=6, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:52:31.833 接收inDepotList：ZxPlatTaskPo [Hash = 4457465, id=null, platId=6, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:52:32.833 接收inDepotList：ZxPlatTaskPo [Hash = 1511153775, id=null, platId=6, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:52:33.841 接收inDepotList：ZxPlatTaskPo [Hash = 1367774641, id=null, platId=6, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:52:34.836 接收inDepotList：ZxPlatTaskPo [Hash = 2023988369, id=null, platId=6, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:52:35.835 接收inDepotList：ZxPlatTaskPo [Hash = 2063985482, id=null, platId=6, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:52:36.835 接收inDepotList：ZxPlatTaskPo [Hash = 1691942593, id=null, platId=6, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:52:37.841 接收inDepotList：ZxPlatTaskPo [Hash = 707781421, id=null, platId=6, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:52:38.848 接收inDepotList：ZxPlatTaskPo [Hash = 1686399252, id=null, platId=6, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:52:39.842 接收inDepotList：ZxPlatTaskPo [Hash = 2126709022, id=null, platId=6, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:52:40.842 接收inDepotList：ZxPlatTaskPo [Hash = 214218605, id=null, platId=6, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
