OpenJDK 64-Bit Server VM (25.292-b10) for linux-amd64 JRE (1.8.0_292-b10), built on Apr 21 2021 14:24:48 by "mockbuild" with gcc 4.8.5 20150623 (Red Hat 4.8.5-44)
Memory: 4k page, physical 24260116k(18839040k free), swap 12255228k(12255228k free)
CommandLine flags: -XX:+HeapDumpOnOutOfMemoryError -XX:InitialHeapSize=134217728 -XX:MaxHeapSize=536870912 -XX:NewRatio=4 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:SurvivorRatio=4 -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
2021-08-18T16:29:48.605+0800: 0.170: [GC (Allocation Failure) [PSYoungGen: 17920K->2202K(22016K)] 17920K->2218K(126976K), 0.0072784 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2021-08-18T16:29:48.663+0800: 0.229: [GC (Allocation Failure) [PSYoungGen: 20122K->2309K(39936K)] 20138K->2333K(144896K), 0.0031213 secs] [Times: user=0.02 sys=0.01, real=0.00 secs] 
2021-08-18T16:29:48.749+0800: 0.314: [GC (Allocation Failure) [PSYoungGen: 38149K->2837K(39936K)] 38173K->2869K(144896K), 0.0027162 secs] [Times: user=0.01 sys=0.02, real=0.01 secs] 
2021-08-18T16:29:48.841+0800: 0.406: [GC (Allocation Failure) [PSYoungGen: 38677K->3266K(75776K)] 38709K->3306K(180736K), 0.0036055 secs] [Times: user=0.02 sys=0.02, real=0.00 secs] 
2021-08-18T16:29:48.914+0800: 0.479: [GC (Allocation Failure) [PSYoungGen: 74946K->4069K(75776K)] 74986K->4387K(180736K), 0.0044055 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2021-08-18T16:29:48.961+0800: 0.527: [GC (Allocation Failure) [PSYoungGen: 75749K->4019K(98816K)] 76067K->4345K(203776K), 0.0057178 secs] [Times: user=0.03 sys=0.01, real=0.00 secs] 
2021-08-18T16:29:49.005+0800: 0.570: [GC (Allocation Failure) [PSYoungGen: 98227K->2942K(99328K)] 98553K->5163K(204288K), 0.0045350 secs] [Times: user=0.03 sys=0.02, real=0.00 secs] 
2021-08-18T16:29:49.054+0800: 0.620: [GC (Allocation Failure) [PSYoungGen: 97150K->2667K(99328K)] 99371K->5553K(204288K), 0.0025686 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-08-18T16:29:49.117+0800: 0.682: [GC (Allocation Failure) [PSYoungGen: 97387K->2603K(99328K)] 100273K->6309K(204288K), 0.0045693 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2021-08-18T16:29:49.261+0800: 0.826: [GC (Metadata GC Threshold) [PSYoungGen: 97323K->4319K(98816K)] 101029K->8907K(203776K), 0.0049390 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-08-18T16:29:49.266+0800: 0.831: [Full GC (Metadata GC Threshold) [PSYoungGen: 4319K->0K(98816K)] [ParOldGen: 4587K->8017K(104960K)] 8907K->8017K(203776K), [Metaspace: 20438K->20438K(1067008K)], 0.0285326 secs] [Times: user=0.25 sys=0.01, real=0.03 secs] 
2021-08-18T16:29:49.514+0800: 1.079: [GC (Allocation Failure) [PSYoungGen: 94208K->5111K(99328K)] 102225K->15560K(204288K), 0.0047326 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2021-08-18T16:29:49.631+0800: 1.197: [GC (Allocation Failure) [PSYoungGen: 99319K->4561K(96256K)] 109768K->19201K(201216K), 0.0067699 secs] [Times: user=0.06 sys=0.01, real=0.00 secs] 
2021-08-18T16:29:49.786+0800: 1.352: [GC (Allocation Failure) [PSYoungGen: 95697K->2664K(97792K)] 110337K->20793K(202752K), 0.0058732 secs] [Times: user=0.05 sys=0.01, real=0.01 secs] 
2021-08-18T16:29:49.967+0800: 1.533: [GC (Allocation Failure) [PSYoungGen: 93800K->2732K(96768K)] 111929K->21963K(201728K), 0.0043256 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2021-08-18T16:29:50.139+0800: 1.704: [GC (Allocation Failure) [PSYoungGen: 93868K->2481K(97280K)] 113099K->22772K(202240K), 0.0051830 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2021-08-18T16:29:50.361+0800: 1.926: [GC (Allocation Failure) [PSYoungGen: 93617K->2220K(98304K)] 113908K->23295K(203264K), 0.0047241 secs] [Times: user=0.03 sys=0.01, real=0.00 secs] 
2021-08-18T16:29:50.468+0800: 2.033: [GC (Allocation Failure) [PSYoungGen: 94380K->884K(98304K)] 115455K->23304K(203264K), 0.0045737 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2021-08-18T16:29:50.613+0800: 2.178: [GC (Metadata GC Threshold) [PSYoungGen: 67727K->1171K(98304K)] 90147K->24150K(203264K), 0.0051746 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2021-08-18T16:29:50.618+0800: 2.183: [Full GC (Metadata GC Threshold) [PSYoungGen: 1171K->0K(98304K)] [ParOldGen: 22979K->17859K(104960K)] 24150K->17859K(203264K), [Metaspace: 34116K->34116K(1081344K)], 0.0414205 secs] [Times: user=0.21 sys=0.00, real=0.04 secs] 
2021-08-18T16:29:50.808+0800: 2.374: [GC (Allocation Failure) [PSYoungGen: 92160K->2022K(98304K)] 110019K->19890K(203264K), 0.0092740 secs] [Times: user=0.09 sys=0.00, real=0.01 secs] 
2021-08-18T16:29:50.973+0800: 2.538: [GC (Allocation Failure) [PSYoungGen: 94182K->2972K(98304K)] 112050K->21208K(203264K), 0.0017390 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-08-18T16:29:51.134+0800: 2.699: [GC (Allocation Failure) [PSYoungGen: 95132K->4266K(98304K)] 113368K->23342K(203264K), 0.0021713 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-08-18T16:29:51.303+0800: 2.868: [GC (Allocation Failure) [PSYoungGen: 96426K->5944K(96256K)] 115502K->25028K(201216K), 0.0024661 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2021-08-18T16:29:51.438+0800: 3.003: [GC (Allocation Failure) [PSYoungGen: 96056K->6016K(96256K)] 115140K->25099K(201216K), 0.0032340 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2021-08-18T16:29:51.600+0800: 3.166: [GC (Allocation Failure) [PSYoungGen: 96128K->6587K(95744K)] 115211K->25679K(200704K), 0.0031447 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2021-08-18T16:29:51.756+0800: 3.321: [GC (Allocation Failure) [PSYoungGen: 94651K->7527K(95744K)] 113743K->26627K(200704K), 0.0041562 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2021-08-18T16:29:51.870+0800: 3.436: [GC (Allocation Failure) [PSYoungGen: 95591K->8386K(92672K)] 114691K->27494K(197632K), 0.0051050 secs] [Times: user=0.07 sys=0.00, real=0.00 secs] 
2021-08-18T16:29:51.969+0800: 3.534: [GC (Allocation Failure) [PSYoungGen: 92354K->9302K(93696K)] 111462K->28410K(198656K), 0.0056154 secs] [Times: user=0.07 sys=0.00, real=0.01 secs] 
2021-08-18T16:29:52.105+0800: 3.671: [GC (Allocation Failure) [PSYoungGen: 93270K->7660K(91648K)] 112378K->30058K(196608K), 0.0053859 secs] [Times: user=0.07 sys=0.00, real=0.01 secs] 
2021-08-18T16:29:52.230+0800: 3.795: [GC (Allocation Failure) [PSYoungGen: 88556K->6434K(92672K)] 110954K->31065K(197632K), 0.0038796 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2021-08-18T16:29:52.347+0800: 3.912: [GC (Allocation Failure) [PSYoungGen: 87330K->3888K(91648K)] 111961K->30974K(196608K), 0.0053833 secs] [Times: user=0.07 sys=0.01, real=0.01 secs] 
