Java HotSpot(TM) 64-Bit Server VM (25.291-b10) for linux-amd64 JRE (1.8.0_291-b10), built on Apr  7 2021 19:13:06 by "java_re" with gcc 7.3.0
Memory: 4k page, physical 24260116k(23207660k free), swap 12255228k(12255228k free)
CommandLine flags: -XX:+HeapDumpOnOutOfMemoryError -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
2021-08-18T16:28:32.962+0800: 0.560: [GC (Allocation Failure) [PSYoungGen: 65536K->6173K(76288K)] 65536K->6189K(251392K), 0.0042761 secs] [Times: user=0.02 sys=0.01, real=0.00 secs] 
2021-08-18T16:28:33.212+0800: 0.809: [GC (Allocation Failure) [PSYoungGen: 71709K->8493K(76288K)] 71725K->8589K(251392K), 0.0052803 secs] [Times: user=0.03 sys=0.02, real=0.00 secs] 
2021-08-18T16:28:33.297+0800: 0.894: [GC (Metadata GC Threshold) [PSYoungGen: 54844K->8245K(76288K)] 54940K->8349K(251392K), 0.0044945 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2021-08-18T16:28:33.301+0800: 0.899: [Full GC (Metadata GC Threshold) [PSYoungGen: 8245K->0K(76288K)] [ParOldGen: 104K->7992K(175104K)] 8349K->7992K(251392K), [Metaspace: 20288K->20288K(1067008K)], 0.0152741 secs] [Times: user=0.09 sys=0.02, real=0.01 secs] 
2021-08-18T16:28:33.423+0800: 1.021: [GC (GCLocker Initiated GC) [PSYoungGen: 65536K->8717K(115200K)] 73528K->16717K(290304K), 0.0039112 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-08-18T16:28:33.654+0800: 1.252: [GC (Allocation Failure) [PSYoungGen: 114701K->10726K(140288K)] 122744K->20283K(315392K), 0.0098238 secs] [Times: user=0.07 sys=0.02, real=0.01 secs] 
2021-08-18T16:28:34.366+0800: 1.964: [GC (Allocation Failure) [PSYoungGen: 140262K->12778K(157696K)] 149819K->23456K(332800K), 0.0122545 secs] [Times: user=0.08 sys=0.02, real=0.01 secs] 
2021-08-18T16:28:34.510+0800: 2.108: [GC (Metadata GC Threshold) [PSYoungGen: 33241K->9207K(159744K)] 43919K->19893K(334848K), 0.0049354 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2021-08-18T16:28:34.515+0800: 2.113: [Full GC (Metadata GC Threshold) [PSYoungGen: 9207K->0K(159744K)] [ParOldGen: 10686K->14123K(175104K)] 19893K->14123K(334848K), [Metaspace: 34074K->34074K(1079296K)], 0.0210931 secs] [Times: user=0.14 sys=0.00, real=0.02 secs] 
2021-08-18T16:28:36.041+0800: 3.639: [GC (Allocation Failure) [PSYoungGen: 144896K->11650K(159232K)] 159019K->25781K(334336K), 0.0099465 secs] [Times: user=0.08 sys=0.00, real=0.01 secs] 
