OpenJDK 64-Bit Server VM (25.292-b10) for linux-amd64 JRE (1.8.0_292-b10), built on Apr 21 2021 14:24:48 by "mockbuild" with gcc 4.8.5 20150623 (Red Hat 4.8.5-44)
Memory: 4k page, physical 24260116k(19381528k free), swap 12255228k(12255228k free)
CommandLine flags: -XX:+HeapDumpOnOutOfMemoryError -XX:InitialHeapSize=134217728 -XX:MaxHeapSize=536870912 -XX:NewRatio=4 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:SurvivorRatio=4 -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
2021-08-18T16:29:33.594+0800: 0.162: [GC (Allocation Failure) [PSYoungGen: 17920K->2007K(22016K)] 17920K->2023K(126976K), 0.0019626 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2021-08-18T16:29:33.659+0800: 0.227: [GC (Allocation Failure) [PSYoungGen: 19927K->2633K(39936K)] 19943K->2657K(144896K), 0.0031458 secs] [Times: user=0.02 sys=0.02, real=0.01 secs] 
2021-08-18T16:29:33.757+0800: 0.325: [GC (Allocation Failure) [PSYoungGen: 38473K->3205K(39936K)] 38497K->3237K(144896K), 0.0020056 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2021-08-18T16:29:33.801+0800: 0.369: [GC (Allocation Failure) [PSYoungGen: 39045K->3933K(75776K)] 39077K->3973K(180736K), 0.0039919 secs] [Times: user=0.02 sys=0.02, real=0.00 secs] 
2021-08-18T16:29:33.876+0800: 0.444: [GC (Allocation Failure) [PSYoungGen: 75613K->4080K(75776K)] 75653K->5087K(180736K), 0.0037523 secs] [Times: user=0.02 sys=0.01, real=0.00 secs] 
2021-08-18T16:29:33.934+0800: 0.502: [GC (Allocation Failure) [PSYoungGen: 75760K->5616K(95744K)] 76767K->7173K(200704K), 0.0052255 secs] [Times: user=0.02 sys=0.04, real=0.00 secs] 
2021-08-18T16:29:34.093+0800: 0.661: [GC (Allocation Failure) [PSYoungGen: 95728K->7144K(97280K)] 97285K->12268K(202240K), 0.0094305 secs] [Times: user=0.06 sys=0.05, real=0.01 secs] 
2021-08-18T16:29:34.129+0800: 0.697: [GC (Metadata GC Threshold) [PSYoungGen: 18894K->6236K(91136K)] 24018K->12256K(196096K), 0.0025120 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
